X,Y,RA,DEC,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2
219.2,51.62,53.51687430423715,-36.20185267210446,72.3,1,27.863000000000003,0.067,16.1,-0.022,0.047,0,28.047,0.124,8.7,-0.143,0.04,0
3277.95,4255.52,53.42760687207833,-36.196881858174805,72.1,1,28.002,0.076,14.3,-0.3379999999999999,0.044,0,28.441,0.175,6.2,0.531,0.011,0
96.11,1282.65,53.50199687280945,-36.18956023399112,60.6,1,30.133000000000003,0.476,2.3,-0.456,0.023,0,28.666,0.186,5.8,0.417,0.01,0
1703.64,2142.86,53.47287739178573,-36.1989929605511,62.6,1,28.911,0.166,6.5,-0.072,0.119,0,28.52,0.191,5.7,0.265,0.087,0
1632.62,2127.9,53.47386014605524,-36.19837071048461,70.5,1,28.372,0.1009999999999999,10.8,0.093,0.009,0,28.113000000000003,0.133,8.2,0.066,0.106,0
2072.63,2162.31,53.46853965478432,-36.20274592964767,80.4,1,28.303,0.0969999999999999,11.2,0.365,0.023,0,27.724,0.09,12.0,-0.574,0.07,0
1144.32,2078.81,53.47990763691717,-36.1936123539574,56.9,1,29.815,0.362,3.0,-0.7290000000000001,0.134,0,28.378,0.1669999999999999,6.5,0.648,0.036,0
1328.32,2165.17,53.476734031491524,-36.19479977714332,65.6,1,28.792,0.152,7.2,0.195,0.0069999999999999,0,27.983,0.122,8.9,-0.071,0.074,0
257.88,2128.24,53.48905718122868,-36.183737170547424,51.6,1,30.238000000000003,0.529,2.1,-0.2019999999999999,0.196,0,28.081,0.136,8.0,0.087,0.2289999999999999,0
1304.9,4133.03,53.45104906239996,-36.176985247225545,69.0,1,28.704,0.141,7.7,-0.315,0.163,0,27.818,0.107,10.2,0.055,0.163,0
566.75,49.65,53.51305813961107,-36.20557007545896,68.1,1,28.043000000000003,0.076,14.2,0.154,0.006,0,28.317,0.156,7.0,-0.326,0.077,0
2679.98,2223.28,53.4610170719671,-36.20866442906172,52.5,1,29.327,0.242,4.5,-0.166,0.031,0,28.137,0.1369999999999999,7.9,0.379,0.025,0
166.29,46.92,53.517521195761006,-36.20133133512634,42.7,1,29.372,0.246,4.4,0.072,0.0069999999999999,0,27.72,0.094,11.5,-0.0069999999999999,0.027,0
3328.28,2250.93,53.45347965270436,-36.21531561332156,69.1,1,28.516,0.12,9.0,0.255,0.019,0,28.107,0.135,8.0,-0.249,0.035,0
606.97,4078.8,53.45948214117729,-36.17004340748922,56.2,1,30.088,0.477,2.3,-0.386,0.026,0,27.721,0.098,11.0,0.395,0.094,0
448.0,2084.69,53.48752949534864,-36.18614923446127,63.5,1,28.444000000000003,0.11,9.9,-0.2319999999999999,0.015,0,27.978,0.115,9.4,0.186,0.045,0
3358.31,2181.58,53.454061940218445,-36.21625422987076,55.5,1,29.531,0.266,4.1,-0.076,0.089,0,27.904,0.105,10.3,0.022,0.067,0
2048.87,4193.74,53.442019776944775,-36.184358448709325,60.7,1,30.197,0.527,2.1,-0.487,0.157,0,27.628,0.089,12.2,0.396,0.1,0
4068.13,108.83,53.473549362949235,-36.242308850765156,69.2,1,29.69,0.322,3.4,-0.231,0.035,0,27.744,0.0969999999999999,11.2,0.445,0.044,0
2399.88,4209.82,53.43792471043697,-36.18794911676127,64.3,1,28.293000000000003,0.094,11.6,0.282,0.031,0,28.271,0.155,7.0,-0.335,0.12,0
1586.59,2141.65,53.47418790391343,-36.197758154503795,54.5,1,29.86,0.386,2.8,-0.1889999999999999,0.176,0,28.156,0.136,8.0,0.249,0.145,0
1576.86,2181.57,53.47376909090559,-36.197298324882915,57.8,1,28.093000000000004,0.084,12.9,0.272,0.185,0,28.549,0.2,5.4,-0.309,0.139,0
138.5,2043.01,53.491500865063806,-36.18322711172428,60.5,1,29.799,0.361,3.0,-0.58,0.062,0,28.093000000000004,0.134,8.1,0.465,0.063,0
3344.46,125.83,53.48133245233583,-36.23445583022082,55.7,1,29.411,0.246,4.4,0.127,0.023,0,28.034,0.12,9.1,-0.023,0.011,0
2778.01,2218.37,53.45999730105412,-36.20975134169395,54.5,1,29.945,0.4039999999999999,2.7,-0.386,0.186,0,28.233,0.148,7.3,0.489,0.0289999999999999,0
3250.51,2256.78,53.454263019244564,-36.214435928676224,48.7,1,28.771,0.14,7.8,0.461,0.282,0,28.269,0.152,7.1,-0.349,0.095,0
1532.43,3588.4,53.455711748419525,-36.18426817142664,198.8,1,25.081,0.0069999999999999,159.6,0.013,0.003,0,25.065,0.009,116.5,-0.042,0.006,0
3569.99,4249.16,53.42445890001748,-36.200045165549575,63.5,1,29.659,0.332,3.3,-0.1639999999999999,0.0069999999999999,0,27.721,0.096,11.3,0.123,0.21,0
2030.98,2130.21,53.46942365975564,-36.202589232335676,59.1,1,28.221,0.091,11.9,-0.122,0.3879999999999999,0,28.208,0.141,7.7,0.3829999999999999,0.133,0
1323.93,4130.46,53.45087246714107,-36.17721066203594,67.8,1,29.062,0.191,5.7,-0.335,0.185,0,27.065,0.057,19.2,0.474,0.125,0
3375.63,4227.06,53.426901092519614,-36.19817506983392,59.7,1,29.611,0.302,3.6,-0.318,0.066,0,27.972,0.1159999999999999,9.4,0.5,0.0139999999999999,0
2427.09,3025.55,53.453235950347484,-36.19881190176874,197.5,1,25.285,0.008,138.9,-0.059,0.093,0,24.774,0.008,140.2,-0.07,0.133,0
3880.22,115.19,53.475544817285844,-36.24025239861267,61.6,1,28.866,0.153,7.1,0.141,0.0579999999999999,0,28.337,0.161,6.7,-0.019,0.301,0
1538.27,2117.61,53.47503932036004,-36.19745850037575,62.4,1,29.49,0.283,3.8,0.07,0.027,0,28.168000000000003,0.136,8.0,-0.252,0.083,0
3823.05,133.36,53.47593768675809,-36.23948184033113,55.7,1,29.09,0.184,5.9,-0.06,0.031,0,28.153,0.134,8.1,0.297,0.089,0
3266.52,2251.2,53.45415945904219,-36.2146560866377,52.6,1,29.579,0.283,3.8,-0.481,0.06,0,28.296,0.157,6.9,0.493,0.073,0
3583.5,4252.04,53.424271424480736,-36.200163153448834,52.2,1,29.837,0.38,2.9,0.267,0.313,0,27.764,0.0969999999999999,11.2,-0.135,0.023,0
784.48,4096.14,53.45729067651438,-36.17177737018741,55.4,1,28.488000000000003,0.114,9.5,0.355,0.005,0,28.492,0.19,5.7,-0.223,0.073,0
2031.69,4179.26,53.442400686831775,-36.18430495905818,71.2,1,28.249,0.09,12.1,-0.351,0.111,0,27.255,0.064,17.0,0.249,0.053,0
620.23,30.61,53.5127180790862,-36.20630923516475,51.5,1,30.153,0.476,2.3,-0.568,0.124,0,27.869,0.105,10.3,0.304,0.073,0
935.42,2144.78,53.481347721706314,-36.190800442619846,43.9,1,28.724,0.146,7.4,-0.262,0.203,0,28.312,0.168,6.5,0.309,0.115,0
3007.77,2252.16,53.457009712099286,-36.21189441676425,58.2,1,28.536,0.119,9.1,0.141,0.005,0,28.539,0.193,5.6,-0.02,0.051,0
734.93,2140.41,53.48362224890224,-36.188705731079274,57.3,1,28.634,0.129,8.4,-0.103,0.142,0,27.908,0.115,9.4,0.129,0.096,0
2922.11,79.46,53.48661681832854,-36.230374724754824,66.0,1,29.492,0.261,4.2,-0.203,0.125,0,27.645,0.088,12.4,0.303,0.019,0
1645.39,2122.45,53.473790781803174,-36.19855524605802,95.6,1,27.649,0.059,18.5,0.08,0.203,0,26.198,0.03,36.7,-0.2689999999999999,0.188,0
2861.52,2238.58,53.45880687611102,-36.21045951090597,57.5,1,28.716,0.149,7.3,-0.225,0.1369999999999999,0,28.477,0.1989999999999999,5.5,-0.04,0.032,0
1643.14,2123.9,53.473796545129424,-36.19851836100963,78.8,1,28.009,0.081,13.4,0.021,0.262,0,27.115,0.064,17.0,-0.184,0.303,0
2474.46,2176.08,53.463913119630945,-36.206898885610116,65.7,1,28.725,0.143,7.6,0.017,0.332,0,28.069000000000003,0.127,8.5,0.17,0.108,0
1775.24,1494.82,53.48063190105534,-36.20553848284932,191.3,1,25.31,0.008,138.7,-0.1169999999999999,0.095,0,24.918000000000003,0.008,131.2,-0.145,0.102,0
1882.85,4145.95,53.44448619840008,-36.18301887099441,55.1,1,28.18,0.087,12.5,0.141,0.0289999999999999,0,28.378,0.171,6.3,-0.326,0.409,0
3557.91,2068.0,53.45335120819836,-36.21939189310853,183.3,1,25.435,0.009,125.4,-0.062,0.181,0,24.844,0.008,133.2,-0.098,0.24,0
3862.61,2257.37,53.44748194631758,-36.220943139363825,58.7,1,28.692,0.1369999999999999,7.9,0.597,0.018,0,27.995,0.121,9.0,-0.623,0.037,0
663.29,52.6,53.51195190971783,-36.20657145018621,60.5,1,28.231,0.087,12.5,0.2019999999999999,0.009,0,28.255,0.147,7.4,-0.275,0.08,0
2878.86,2148.24,53.45980639747292,-36.2114504442281,55.0,1,28.788,0.146,7.4,-0.407,0.086,0,28.322,0.155,7.0,0.308,0.361,0
689.46,2076.55,53.484967112213575,-36.18879168833978,44.6,1,30.281,0.5429999999999999,2.0,-0.556,0.271,0,28.195,0.143,7.6,0.414,0.021,0
3939.43,129.61,53.47469936122927,-36.24075380264517,49.1,1,29.425,0.258,4.2,-0.471,0.045,0,28.277,0.152,7.1,0.573,0.123,0
3329.31,2868.22,53.44532824096496,-36.20981559553547,167.8,1,26.203000000000003,0.015,71.6,-0.045,0.186,0,24.535,0.0069999999999999,150.3,-0.133,0.275,0
1341.07,75.82,53.50415148535489,-36.21357914882767,39.7,1,30.34,0.552,2.0,-0.589,0.035,0,28.484,0.178,6.1,0.7509999999999999,0.025,0
2442.32,2186.72,53.464128348956756,-36.20646191743564,57.5,1,27.935,0.072,15.2,0.255,0.025,0,28.602,0.21,5.2,0.017,0.183,0
2131.24,80.95,53.49534529361277,-36.22194399731789,34.1,1,30.176,0.476,2.3,-0.352,0.217,0,28.183000000000003,0.136,8.0,0.225,0.04,0
785.08,45.11,53.51070421836174,-36.20793473774097,58.6,1,28.697,0.131,8.3,0.276,0.021,0,28.073,0.125,8.7,-0.06,0.0289999999999999,0
2807.3,102.37,53.48758462410663,-36.228948374888255,53.4,1,28.49,0.109,10.0,0.2019999999999999,0.087,0,28.385,0.163,6.7,-0.278,0.149,0
3833.52,3847.62,53.426835666404955,-36.20643427012027,183.6,1,25.306,0.008,141.1,-0.127,0.012,0,25.108,0.009,116.8,-0.131,0.022,0
3538.19,2249.9,53.45117052135434,-36.21755818779109,53.6,1,28.66,0.128,8.5,-0.5670000000000001,0.032,0,28.147,0.138,7.8,0.769,0.086,0
1913.72,2113.43,53.47094193499439,-36.20149119682398,56.3,1,28.652,0.136,8.0,0.122,0.019,0,28.031,0.122,8.9,0.108,0.136,0
1092.96,73.54,53.506925032124826,-36.2109584594046,52.1,1,29.948,0.3989999999999999,2.7,-0.128,0.1989999999999999,0,27.968000000000004,0.113,9.6,0.289,0.068,0
3537.33,132.53,53.47911010294129,-36.23644861094916,51.4,1,30.002,0.432,2.5,-0.018,0.15,0,27.567,0.0819999999999999,13.2,0.233,0.12,0
3679.2,129.75,53.47757703528907,-36.23798321463636,56.6,1,28.146,0.08,13.5,-0.361,0.089,0,28.57,0.195,5.6,0.478,0.083,0
4110.66,4257.67,53.41836281959064,-36.205720191900376,55.7,1,28.849,0.168,6.5,0.618,0.043,0,28.395,0.176,6.2,-0.352,0.25,0
3300.81,2246.5,53.453842027509346,-36.21506288501667,49.3,1,30.162,0.489,2.2,-0.023,0.267,0,27.901,0.111,9.7,-0.147,0.075,0
1806.14,3139.21,53.458606208375954,-36.19119033388704,60.8,1,29.553,0.2289999999999999,4.7,-0.246,0.064,0,28.38,0.127,8.5,0.51,0.067,0
677.96,4073.3,53.45876963719077,-36.17084786048869,42.7,1,30.172,0.539,2.0,-0.514,0.045,0,28.412,0.18,6.0,0.455,0.05,0
1448.81,2090.86,53.47638144687719,-36.19674521891639,52.7,1,29.572,0.313,3.5,-0.471,0.5539999999999999,0,27.486,0.084,13.0,0.22,0.168,0
