,X,Y,SNR,stype,inst_vega_mag1,mag1_err,snr_mag1,sharp_mag1,crowd_mag1,flag_mag1,inst_vega_mag2,mag2_err,snr_mag2,sharp_mag2,crowd_mag2,flag_mag2,RA,DEC
1138,2822.1224353069174,745.9085456600206,32.9,1,27.414,0.0579999999999999,18.7,-0.004,0.264,0,26.167,0.043,25.1,0.0139999999999999,0.359,0,54.713714428816886,-35.58523644104298
1139,3622.341166791787,876.7944942373762,29.4,1,27.47,0.067,16.3,-0.019,0.305,0,26.182,0.048,22.4,-0.068,0.484,0,54.707375899415965,-35.59524943838621
1140,2814.0436318256016,313.50993986875915,30.7,1,27.308000000000003,0.0559999999999999,19.5,0.134,0.271,0,26.273000000000003,0.051,21.4,0.129,0.3979999999999999,0,54.72078236404236,-35.58698006330426
1141,2581.8281382961686,237.7783410021019,39.1,1,28.032,0.078,13.9,-0.016,0.308,0,26.077,0.031,34.8,0.08,0.245,0,54.7232345676833,-35.58423573635644
1142,3823.080154604185,554.2871852312186,22.7,1,28.196,0.155,7.0,0.048,0.2189999999999999,0,26.138,0.0559999999999999,19.6,-0.255,0.3929999999999999,0,54.711559751647194,-35.59928222089405
1143,1585.1863693716582,1247.5769757272135,54.7,1,28.817,0.102,10.6,-0.034,0.241,0,26.079,0.021,53.0,0.077,0.09,0,54.712073562889614,-35.56674570011701
1144,2834.638814354472,220.0904194873116,28.7,1,28.148000000000003,0.115,9.4,0.236,0.342,0,26.096,0.042,25.7,0.0139999999999999,0.308,0,54.722191887711936,-35.5876519135954
1145,3923.4947404770296,961.816612265418,31.8,1,27.406,0.095,11.4,0.062,0.265,0,26.238000000000003,0.037,29.0,0.072,0.45,0,54.70440889546318,-35.59886452604246
1146,3448.2813222220043,973.6527775293438,29.7,1,27.523000000000003,0.066,16.5,-0.05,0.313,0,26.243,0.049,22.2,-0.135,0.3829999999999999,0,54.70671838050354,-35.59253500861937
1147,3187.7674494224125,912.9809018817622,27.6,1,27.595,0.077,14.2,-0.053,0.239,0,26.177,0.05,21.8,-0.1369999999999999,0.315,0,54.70907550012852,-35.589352602683
